bank;level;is_walk_in;bucket;REP_MONTH;GEN_MONTH;prod_type;CLIENT_CATEGORY_BUDGET;NUM;VAR;NUM_REG;VAR_REG
DCB;2;NULL;Cumulative 1-90;2017-06-01 00:00:00.000;2017-03-01 00:00:00.000;Mortgage;NULL;7278;15004389214.97;7168;14739570160
DCB;2;NULL;Cumulative 1-90;2017-07-01 00:00:00.000;2017-04-01 00:00:00.000;Mortgage;NULL;6664;13506075142.11;6542;13230289438
DCB;2;NULL;Cumulative 1-90;2017-08-01 00:00:00.000;2017-05-01 00:00:00.000;Mortgage;NULL;8183;16781909411.54;8055;16416065987
DCB;2;NULL;Cumulative 1-90;2017-09-01 00:00:00.000;2017-06-01 00:00:00.000;Mortgage;NULL;7547;15844215084.08;7452;15564063878
DCB;2;NULL;Cumulative 1-90;2017-10-01 00:00:00.000;2017-07-01 00:00:00.000;Mortgage;NULL;7326;14987239303.51;7208;14698666287
DCB;2;NULL;Cumulative 1-90;2017-11-01 00:00:00.000;2017-08-01 00:00:00.000;Mortgage;NULL;7830;15836495978.17;7717;15550627246
DCB;2;NULL;Cumulative 1-90;2017-12-01 00:00:00.000;2017-09-01 00:00:00.000;Mortgage;NULL;7685;15629415000.15;7595;15397829633
DCB;2;NULL;Cumulative 1-90;2018-01-01 00:00:00.000;2017-10-01 00:00:00.000;Mortgage;NULL;8723;17614657634.48;8588;17250744349
RB;2;1;Cumulative 1-90;2018-11-01 00:00:00.000;2018-08-01 00:00:00.000;Mortgage;Walk-in;1172;1517959988.33;1159;1502281487
RB;2;1;Cumulative 1-90;2018-11-01 00:00:00.000;2018-08-01 00:00:00.000;PRO Individuals;Walk-in;6;1690025.53;6;1690025,53
RB;2;1;Cumulative 1-90;2018-12-01 00:00:00.000;2018-09-01 00:00:00.000;Cards/Revolving;Walk-in;403;102499816.34;392;98344913,29
RB;2;1;Cumulative 1-90;2018-12-01 00:00:00.000;2018-09-01 00:00:00.000;Cars;Walk-in;1830;263211977.02;1799;259320920,6
RB;2;1;Cumulative 1-90;2018-12-01 00:00:00.000;2018-09-01 00:00:00.000;Consumer;Walk-in;5396;1463713062.34;5171;1380850746
RB;2;1;Cumulative 1-90;2018-12-01 00:00:00.000;2018-09-01 00:00:00.000;Mortgage;Walk-in;967;1318585946.85;951;1293024171
RB;2;1;Cumulative 1-90;2018-12-01 00:00:00.000;2018-09-01 00:00:00.000;PRO Individuals;Walk-in;4;888237.26;4;888237,26
RB;2;1;Cumulative 1-90;2019-01-01 00:00:00.000;2018-10-01 00:00:00.000;Cards/Revolving;Walk-in;2830;372604648.31;2630;341814815,6
RB;2;1;Cumulative 1-90;2019-01-01 00:00:00.000;2018-10-01 00:00:00.000;Cars;Walk-in;2201;302907562.45;2147;296372212,2
RB;2;1;Cumulative 1-90;2019-01-01 00:00:00.000;2018-10-01 00:00:00.000;Consumer;Walk-in;6258;1810530466.65;5987;1705186216
RB;2;1;Cumulative 1-90;2019-01-01 00:00:00.000;2018-10-01 00:00:00.000;Mortgage;Walk-in;1176;1514846826.92;1159;1487119429
RB;2;1;Cumulative 1-90;2019-01-01 00:00:00.000;2018-10-01 00:00:00.000;PRO Individuals;Walk-in;9;1973219.76;8;1961172,16
RB;2;1;Cumulative 1-90;2019-02-01 00:00:00.000;2018-11-01 00:00:00.000;Cards/Revolving;Walk-in;2175;306871871.61;2049;289175302
RB;2;1;Cumulative 1-90;2019-02-01 00:00:00.000;2018-11-01 00:00:00.000;Cars;Walk-in;1840;232777905.04;1797;227211060,2
RB;2;1;Cumulative 1-90;2019-02-01 00:00:00.000;2018-11-01 00:00:00.000;Consumer;Walk-in;6161;1863284546.36;5885;1755971469
RB;2;1;Cumulative 1-90;2019-02-01 00:00:00.000;2018-11-01 00:00:00.000;Mortgage;Walk-in;1117;1459901844.72;1098;1426049381
RB;2;1;Cumulative 1-90;2019-02-01 00:00:00.000;2018-11-01 00:00:00.000;PRO Individuals;Walk-in;5;1802633.44;5;1802633,44
RB;2;1;Cumulative 1-90;2019-03-01 00:00:00.000;2018-12-01 00:00:00.000;Cards/Revolving;Walk-in;398;97770677.43;386;93804807,15
RB;2;1;Cumulative 1-90;2019-03-01 00:00:00.000;2018-12-01 00:00:00.000;Cars;Walk-in;1560;176656943.02;1529;172638035,1
RB;2;1;Cumulative 1-90;2019-03-01 00:00:00.000;2018-12-01 00:00:00.000;Consumer;Walk-in;5422;1660022774.65;5186;1562175146
RB;2;1;Cumulative 1-90;2019-03-01 00:00:00.000;2018-12-01 00:00:00.000;Mortgage;Walk-in;866;1140727499.00;849;1120336855
RB;2;1;Cumulative 1-90;2019-03-01 00:00:00.000;2018-12-01 00:00:00.000;PRO Individuals;Walk-in;6;1531105.08;6;1531105,08
RB;2;1;Cumulative 1-90;2019-04-01 00:00:00.000;2019-01-01 00:00:00.000;Cards/Revolving;Walk-in;3207;410918379.54;2967;376755575,1
RB;2;1;Cumulative 1-90;2019-04-01 00:00:00.000;2019-01-01 00:00:00.000;Cars;Walk-in;1631;179040837.61;1590;173932857,8
RB;2;1;Cumulative 1-90;2019-04-01 00:00:00.000;2019-01-01 00:00:00.000;Consumer;Walk-in;5971;1881970051.71;5662;1760757666
RB;2;1;Cumulative 1-90;2019-04-01 00:00:00.000;2019-01-01 00:00:00.000;Mortgage;Walk-in;1040;1358781977.08;1022;1329593296
RB;2;1;Cumulative 1-90;2019-04-01 00:00:00.000;2019-01-01 00:00:00.000;PRO Individuals;Walk-in;7;1699963.80;5;1241950
RB;2;1;Cumulative 1-90;2019-05-01 00:00:00.000;2019-02-01 00:00:00.000;Cards/Revolving;Walk-in;1901;261448854.24;1789;243379138,8
RB;2;1;Cumulative 1-90;2019-05-01 00:00:00.000;2019-02-01 00:00:00.000;Cars;Walk-in;1477;144072937.25;1442;140198248,6
RB;2;1;Cumulative 1-90;2019-05-01 00:00:00.000;2019-02-01 00:00:00.000;Consumer;Walk-in;5887;1843305850.95;5538;1699985482
RB;2;1;Cumulative 1-90;2019-05-01 00:00:00.000;2019-02-01 00:00:00.000;Mortgage;Walk-in;992;1308932225.87;981;1291248956
RB;2;1;Cumulative 1-90;2019-05-01 00:00:00.000;2019-02-01 00:00:00.000;PRO Individuals;Walk-in;2;350107.79;2;350107,79
RB;1;0;Cumulative 1-180 Consumer;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Consumer;Bona-fide;20329;5317662117.72;19898;5180986938
RB;1;0;Cumulative 1-180 Consumer;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Consumer;Consumer;21;691519.30;21;691519,3
RB;1;0;Cumulative 1-180 Consumer;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Consumer;Payroll;8780;2086037149.99;8629;2049100649
RB;1;0;Cumulative 1-180 Consumer;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Consumer;Bona-fide;22602;6100327236.71;22092;5938293437
RB;1;0;Cumulative 1-180 Consumer;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Consumer;Consumer;31;837337.28;27;792322,28
RB;1;0;Cumulative 1-180 Consumer;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Consumer;Payroll;9771;2462357289.29;9588;2418896991
RB;1;0;Cumulative 1-180 Consumer;2019-02-01 00:00:00.000;2018-08-01 00:00:00.000;Consumer;Bona-fide;21816;5941869675.69;21340;5781055741
RB;1;0;Cumulative 1-180 Consumer;2019-02-01 00:00:00.000;2018-08-01 00:00:00.000;Consumer;Consumer;16;629773.89;16;629773,89
RB;1;0;Cumulative 1-180 Consumer;2019-02-01 00:00:00.000;2018-08-01 00:00:00.000;Consumer;Payroll;9470;2441839109.94;9283;2383863782
RB;1;0;Cumulative 1-180 Consumer;2019-03-01 00:00:00.000;2018-09-01 00:00:00.000;Consumer;Bona-fide;19906;5420527987.43;19479;5284690142
RB;1;0;Cumulative 1-180 Consumer;2019-03-01 00:00:00.000;2018-09-01 00:00:00.000;Consumer;Consumer;20;378392.05;19;294806,89
RB;1;0;Cumulative 1-180 Consumer;2019-03-01 00:00:00.000;2018-09-01 00:00:00.000;Consumer;Payroll;8767;2383153451.85;8592;2331944073
RB;1;0;Cumulative 1-180 Consumer;2019-04-01 00:00:00.000;2018-10-01 00:00:00.000;Consumer;Bona-fide;23219;6518714235.14;22702;6339485628
RB;1;0;Cumulative 1-180 Consumer;2019-04-01 00:00:00.000;2018-10-01 00:00:00.000;Consumer;Consumer;10;205662.64;9;184173,5
RB;1;0;Cumulative 1-180 Consumer;2019-04-01 00:00:00.000;2018-10-01 00:00:00.000;Consumer;Payroll;10300;2847858380.86;10101;2794196998
RB;1;0;Cumulative 1-180 Consumer;2019-05-01 00:00:00.000;2018-11-01 00:00:00.000;Consumer;Bona-fide;22753;6512047421.11;22241;6329450860
RB;1;0;Cumulative 1-180 Consumer;2019-05-01 00:00:00.000;2018-11-01 00:00:00.000;Consumer;Consumer;15;606993.81;14;570087,15
RB;1;0;Cumulative 1-180 Consumer;2019-05-01 00:00:00.000;2018-11-01 00:00:00.000;Consumer;Payroll;10629;3100343792.50;10440;3037941847
RB;1;1;Cumulative 1-180 Consumer;2017-01-01 00:00:00.000;2016-07-01 00:00:00.000;Consumer;Walk-in;11747;1718159194.63;11437;1651742813
